# frame,cluster,x0,y0,x1,y1,area,aspectRatio,texture,solidity
1.000000,0.000000,192.000000,424.000000,227.000000,461.000000,504.500000,3.086705,0.257915,0.924840
1.000000,2.000000,452.000000,401.000000,471.000000,421.000000,256.500000,1.055556,0.263158,0.914439
1.000000,2.000000,219.000000,392.000000,235.000000,411.000000,111.000000,1.030303,0.282895,0.601626
1.000000,4.000000,539.000000,382.000000,587.000000,409.000000,595.000000,3.166667,0.218364,0.934066
1.000000,2.000000,359.000000,368.000000,382.000000,392.000000,132.000000,3.367347,0.251812,0.612529
1.000000,3.000000,408.000000,306.000000,457.000000,374.000000,1329.000000,1.072504,0.210084,0.621754
1.000000,2.000000,359.000000,294.000000,372.000000,315.000000,115.000000,1.701299,0.142857,0.642458
1.000000,4.000000,288.000000,262.000000,320.000000,302.000000,695.500000,1.281250,0.140625,0.848171
1.000000,2.000000,336.000000,232.000000,362.000000,251.000000,181.000000,1.614458,0.085020,0.603333
1.000000,0.000000,276.000000,223.000000,304.000000,253.000000,385.500000,1.057613,0.147619,0.677504
1.000000,4.000000,499.000000,197.000000,526.000000,253.000000,653.000000,2.552058,0.291005,0.716009
1.000000,4.000000,465.000000,166.000000,507.000000,207.000000,686.000000,2.956897,0.247387,0.935880
1.000000,1.000000,372.000000,137.000000,444.000000,180.000000,1736.500000,1.780645,0.208333,0.881025
1.000000,4.000000,552.000000,133.000000,585.000000,177.000000,640.000000,2.739130,0.176309,0.939794
1.000000,4.000000,337.000000,122.000000,365.000000,164.000000,601.000000,1.648541,0.149660,0.776486
1.000000,0.000000,496.000000,101.000000,516.000000,134.000000,400.500000,1.684211,0.196970,0.841387
1.000000,2.000000,135.000000,39.000000,155.000000,58.000000,169.000000,1.136364,0.231579,0.705637
1.000000,2.000000,337.000000,14.000000,350.000000,32.000000,120.500000,1.625000,0.183761,0.767516
2.000000,2.000000,438.000000,460.000000,460.000000,480.000000,156.500000,1.392157,0.220455,0.601923
2.000000,0.000000,193.000000,421.000000,227.000000,461.000000,516.000000,3.102041,0.268382,0.917333
2.000000,2.000000,452.000000,401.000000,472.000000,421.000000,260.000000,1.006579,0.257500,0.888889
2.000000,2.000000,220.000000,392.000000,235.000000,411.000000,117.500000,1.090909,0.284211,0.633423
2.000000,4.000000,541.000000,380.000000,590.000000,408.000000,599.500000,3.222222,0.210641,0.922308
2.000000,2.000000,359.000000,368.000000,381.000000,392.000000,117.500000,3.208531,0.248106,0.528090
2.000000,2.000000,383.000000,327.000000,399.000000,347.000000,103.000000,1.315790,0.171875,0.573816
2.000000,3.000000,408.000000,306.000000,458.000000,373.000000,1370.000000,1.057569,0.204179,0.639888
2.000000,2.000000,359.000000,294.000000,372.000000,315.000000,121.000000,1.718310,0.139194,0.677871
2.000000,4.000000,288.000000,261.000000,320.000000,301.000000,673.500000,1.273642,0.126562,0.838730
2.000000,2.000000,335.000000,234.000000,362.000000,251.000000,155.000000,2.528000,0.037037,0.656780
2.000000,0.000000,276.000000,223.000000,304.000000,253.000000,386.500000,1.074074,0.150000,0.684677
2.000000,4.000000,499.000000,197.000000,526.000000,253.000000,635.000000,2.531785,0.300926,0.689094
2.000000,4.000000,467.000000,164.000000,509.000000,206.000000,685.000000,2.931624,0.240930,0.920081
2.000000,1.000000,371.000000,137.000000,444.000000,180.000000,1739.500000,1.850340,0.193055,0.885242
2.000000,4.000000,551.000000,132.000000,584.000000,176.000000,642.000000,2.808695,0.176997,0.953938
2.000000,4.000000,337.000000,122.000000,364.000000,164.000000,595.500000,1.633588,0.135802,0.772875
2.000000,0.000000,495.000000,100.000000,516.000000,134.000000,412.000000,1.661074,0.173669,0.848610
2.000000,2.000000,135.000000,40.000000,155.000000,58.000000,185.000000,1.025000,0.252778,0.778947
2.000000,2.000000,166.000000,32.000000,184.000000,57.000000,118.500000,3.191011,0.302222,0.665730
3.000000,2.000000,440.000000,460.000000,459.000000,480.000000,150.500000,1.423809,0.260526,0.610548
3.000000,0.000000,193.000000,420.000000,226.000000,461.000000,513.000000,3.245283,0.262380,0.920179
3.000000,2.000000,220.000000,392.000000,235.000000,411.000000,110.500000,1.125000,0.284211,0.613889
3.000000,0.000000,452.000000,391.000000,471.000000,421.000000,337.500000,1.707895,0.249123,0.767045
3.000000,4.000000,544.000000,379.000000,592.000000,406.000000,563.500000,3.257143,0.204475,0.931405
3.000000,2.000000,359.000000,368.000000,381.000000,392.000000,119.500000,3.250000,0.246212,0.569048
3.000000,3.000000,408.000000,306.000000,456.000000,373.000000,1338.500000,1.250848,0.202736,0.637837
3.000000,2.000000,358.000000,295.000000,371.000000,315.000000,115.000000,1.645833,0.153846,0.664740
3.000000,4.000000,288.000000,261.000000,319.000000,301.000000,677.000000,1.376682,0.133871,0.860229
3.000000,2.000000,335.000000,232.000000,362.000000,250.000000,183.000000,1.691358,0.090535,0.600000
3.000000,0.000000,276.000000,223.000000,304.000000,253.000000,389.500000,1.074074,0.167857,0.676215
3.000000,4.000000,498.000000,197.000000,526.000000,253.000000,658.500000,2.397850,0.309949,0.682383
3.000000,4.000000,469.000000,162.000000,511.000000,204.000000,675.500000,3.040000,0.226190,0.921555
3.000000,1.000000,372.000000,135.000000,443.000000,180.000000,1730.500000,1.867925,0.185915,0.879543
3.000000,4.000000,551.000000,131.000000,584.000000,176.000000,640.500000,2.785366,0.171717,0.934354
3.000000,4.000000,337.000000,122.000000,364.000000,164.000000,595.500000,1.633588,0.128748,0.757634
3.000000,0.000000,495.000000,100.000000,516.000000,134.000000,406.500000,1.654912,0.186275,0.851309
3.000000,2.000000,138.000000,41.000000,155.000000,58.000000,157.000000,1.000000,0.224913,0.794937
3.000000,2.000000,166.000000,32.000000,183.000000,56.000000,107.500000,3.200000,0.306373,0.678233
3.000000,2.000000,203.000000,0.000000,222.000000,11.000000,101.000000,1.952381,0.330144,0.756554
4.000000,2.000000,439.000000,460.000000,460.000000,480.000000,162.000000,1.518868,0.223810,0.640316
4.000000,0.000000,194.000000,419.000000,226.000000,460.000000,524.500000,3.283019,0.261433,0.932444
4.000000,2.000000,453.000000,401.000000,471.000000,421.000000,250.500000,1.032258,0.266667,0.917582
4.000000,2.000000,219.000000,392.000000,235.000000,410.000000,111.500000,1.062500,0.288194,0.616022
4.000000,4.000000,546.000000,377.000000,594.000000,405.000000,567.000000,3.515152,0.190476,0.931034
4.000000,2.000000,359.000000,368.000000,381.000000,392.000000,117.500000,3.454545,0.242424,0.615183
4.000000,3.000000,408.000000,306.000000,457.000000,374.000000,1319.000000,1.400208,0.207083,0.616067
4.000000,2.000000,358.000000,294.000000,371.000000,315.000000,117.000000,1.666667,0.150183,0.676301
4.000000,4.000000,288.000000,262.000000,319.000000,301.000000,666.500000,1.360082,0.139785,0.863342
4.000000,2.000000,335.000000,232.000000,362.000000,251.000000,182.500000,1.696970,0.087719,0.584936
4.000000,0.000000,276.000000,223.000000,304.000000,253.000000,391.500000,1.074074,0.182143,0.687445
4.000000,4.000000,498.000000,196.000000,527.000000,253.000000,625.500000,2.540645,0.303085,0.660507
4.000000,4.000000,471.000000,160.000000,513.000000,203.000000,676.500000,2.974074,0.242525,0.911111
4.000000,1.000000,372.000000,132.000000,441.000000,181.000000,1728.000000,1.981625,0.171843,0.874937
4.000000,4.000000,551.000000,131.000000,584.000000,177.000000,637.000000,2.862745,0.171278,0.932650
4.000000,4.000000,337.000000,123.000000,364.000000,161.000000,599.500000,1.423077,0.139376,0.836123
4.000000,0.000000,497.000000,101.000000,516.000000,135.000000,402.000000,1.833333,0.202786,0.872964
4.000000,2.000000,342.000000,41.000000,357.000000,52.000000,100.500000,1.400000,0.103030,0.948113
4.000000,2.000000,141.000000,41.000000,156.000000,59.000000,135.500000,1.214286,0.262963,0.724599
4.000000,2.000000,166.000000,33.000000,184.000000,57.000000,106.000000,3.517442,0.275463,0.654321
4.000000,2.000000,203.000000,0.000000,223.000000,11.000000,113.000000,1.900000,0.290909,0.768707
5.000000,2.000000,438.000000,467.000000,455.000000,480.000000,101.500000,1.583333,0.262443,0.749077
5.000000,0.000000,193.000000,417.000000,225.000000,459.000000,508.000000,3.245033,0.265625,0.899115
5.000000,2.000000,452.000000,401.000000,471.000000,420.000000,247.500000,1.013889,0.290859,0.895118
5.000000,2.000000,218.000000,392.000000,235.000000,411.000000,125.500000,1.162963,0.260062,0.629073
